widget_title,widget_description,url_loc
BVDR Converter Files,BVDR Converter Files,./files/Manuals/BVDR_converter/
BVDR Converter: Readme,BVDR Converter: Readme,./files/Manuals/BVDR_converter/BVDR_convert_read_me.txt
BVDR Converter: Config file,Configuration file for the BVDR Converter,./files/Manuals/BVDR_converter/bvdr_path.cfg
BVDR Reader,BVDR Reader Program (BVDRReader.exe),./files/Manuals/BVDR_converter/BVDRReader.exe
BVDR Reader,BVDR Reader Program (BVDRReader.zip),./files/Manuals/BVDR_converter/BVDRReader.zip
CA-1 and CA-2 Instructions,Instructions for Employees to file a CA-1 or CA-2 in ECOMP,./files/Safety/Accidents/Filing CA-1 and CA-2 Employee Instructions.pdf
"CA-1 Form: Reporting an Accident, Injury, or Illness",Federal Employee's Notice of Traumatic Injury and Claim for Continuation of Pay/Compensation,./files/Safety/Accidents/Pay Compensation Form ca-1.pdf
CA-16 Form: Authorization for Treatment,Authorization for Examination and/or Treatment,./files/Safety/Accidents/CA_16_expires_2018_mar_2021.pdf
CA-2 Form: Report an Occupational Disease,Notice of Occupational Disease and Claim for Compensation,./files/Safety/Accidents/CA-2 Dept. of Labor Claim for Compensation.pdf
Caliper Digimatic Bluetooth Adapter Instructions,Caliper Digimatic Bluetooth Adapter Instructions,./files/Manuals/Bluetooth_devices/Caliper_Digimatic Bluetooth Adapter instructions.pdf
Calypso Software: Aliases,Calypso Aliases,./files/Manuals/Calypso_Wheelhouse/Calypso Software/Calypso_2017.1.aliases
Calypso Software: Calypso_2017.1.exe,Calypso executable (.exe),./files/Manuals/Calypso_Wheelhouse/Calypso Software/Calypso_2017.1.exe
Calypso Software: Calypso_2017.1.ini,Calypso .ini,./files/Manuals/Calypso_Wheelhouse/Calypso Software/Calypso_2017.1.ini
Care for Cold (Hypothermic) Patient,Hypothermia care and treatment,./files//Safety/CareForColdPatient.jpg
METIS Manuals and Documentatino,METIS Catch and Length Data Entry Instructions,./files/Manuals/Catch Data Entry/METIS Training Manuals and Documentation
Catch App Powerpoints,Tablet Catch Application Powerpoint Presentations,./files/Manuals/Apps Software/IntroToCatchApp MS Powerpoints/
Catch Form (Printable),Printable Deck Catch and Species Composition Form,./files/Collections/haul_catch_specimen_forms/catchforms/new_CATCH_FORM.pdf
"CD-137 Form: Report of Incident, Injury, Illness","Report of Incident, Injury, Illness, Motor Vehicle Accident, Property Damage, or Fatality Form",./files/Safety/Accidents/cd-137.pdf
CD-351 Form: Report of Safety hazard,Report of possible saftey/health hazard: Safety & Health Management Information,./files/Safety/Accidents/CD-351 report of Safety Hazard.pdf
CD-81 Form: OT Authorization,Authorization for paid overtime and/or holiday work and for compensatory overtime,./files/Timekeeping/CD-81 OT Authorization.pdf
Wheelhouse - Marport-SiRF GPS,Instructions for changing COM ports for Marport Server GPS NMEA,./files/Manuals/GPSs/SirfDemo fix/Change_GPScom1to2_marport_comp.pdf
Wheelhouse - Marport-SiRF GPS Boot Order,Instructions for changing COM ports for Marport Server GPS NMEA BOOT ORDER,./files/Manuals/GPSs/SirfDemo fix/Changing boot order.docx
Wheelhouse - Marport-SiRF GPS Boot Order,Changing Computer boot order (problem when USB drive plugged in when boot-up),./files/Manuals/GPSs/SirfDemo fix/Changing Computer boot order.docx
Wheelhouse - Marport-SiRF GPS Boot Order,Changing Computer boot order (problem when USB drive plugged in when boot-up),./files/Manuals/GPSs/SirfDemo fix/Changing_boot_order.pdf
Wheelhouse - Marport-SiRF GPS Switch COM Port,Instructions for changing Marport GPS comport (if COM1 “goes down”),./files/Manuals/GPSs/SirfDemo fix/Changing_COM_port.docx
Wheelhouse - Marport-SiRF GPS Switch COM Port,Instructions for changing Marport GPS comport (if COM1 “goes down”),./files/Manuals/GPSs/SirfDemo fix/Changing_COM_port.pdf
Chemical Handling for Voucher Collections,Chemical Handling Guidance v. 2019,./files/Collections/haul_catch_specimen_forms/catchforms/Preservation Procedures for Voucher Collection.pdf
Chemical Handling for Voucher Collections,Chemical Handling Guidance v. 2019,./files/Collections/haul_catch_specimen_forms/catchforms/Preservation Procedures for Voucher Collection.pdf
Chief Scientist & Deck Lead Manual v. 2007,Chief Scientist & Deck Lead Manual v. 2007,./files/Manuals/Survey operation manuals/Chief Scientist Manual07.pdf
Chief Scientist & Deck Lead Manual v. 2007,Chief Scientist & Deck Lead Manual v. 2007,./files/Manuals/Survey operation manuals/Chief Scientist Manual07.pdf
Cold (Hypothermic) Patient Assessment,Hypothermia patient assessment,./files//Safety/AssessColdPatient.jpg
Cold (Hypothermic) Patient Flow Chart,Hypothermia patient assessment and care flow chart,./files//Safety/ColdPatientFlowChart.jpg
Timekeeping: Comp Time for Travel & Credit Hours,Timekeeping: Comp Time for Travel & Credit Hours,./files/Timekeeping/Comp Time for Travel & Credit Hours.pdf
Timekeeping: Comp Time for Travel & Credit Hours,Timekeeping: Comp Time for Travel & Credit Hours,./files/Timekeeping/COMP TIME OFF FOR TRAVEL-Air-final.pdf
Timekeeping: Comp Time for Travel & Credit Hours,Timekeeping: Comp Time for Travel & Credit Hours,./files/Timekeeping/comptime_travel_guide.pdf
Mitigation Measures Cheat Sheet (2019),Protected Species Mitigation Measures Cheat Sheet: Assistance for Compliance with Federal conservation laws,./files/SpeciesID/protected_species/Training/2019_Compliance_Cheat_Sheet.pdf
Confined Space Form,Confined Space Assessment and Evaluation Form (2022),./files/Safety/confined space form 2022.xlsx
Contracts Folder,"Vessel, OSI, and Observer Contracts",./files/Permits contracts/Contracts
BVDR Converter: convert_bvdr.exe,BVDR Converter software,./files/Manuals/BVDR_converter/convert_bvdr.exe
Ergonomic: Core and Back,Ergonomic Resource Library Core and Back,./files/Safety/Ergonomic Resource Library/Approved IPS Exercise Programs/NOAA Core and Back Program.pdf
Ergonomic: Core Stability,Ergonomic Resource Library: Core Stability,./files/Safety/Ergonomic Resource Library/Approved IPS Exercise Programs/NOAA Core Stability Approved Exercises.pdf
Crab App Powrpoints,Tablet Crab Application Powerpoint Presentations,./files/Manuals/Apps Software/Crab Application Training Powerpoints/
Cruise Announcement GOA 2023,Cruise Announcement Gulf of Alaska 2023,./files/Manuals/Survey operation manuals/Cruise Announcement GOA 2023.doc
CTD: Settings and Troubleshooting,Quick settings and troubleshooting guide for the SBE19plus V2 CTD,./files/Manuals/CTD Manuals/SBE19plus/CTD Settings and Troubleshooting.pdf
CTD Folder,Folder Containing CTD resources,./files/Manuals/CTD Manuals/
Dangerous Goods Declaration Form CFR49,Dangerous Goods Declearation Form for Hazardous Materials HAZMAT Shpping,./files/Shipping-Hazmat/Dangerous Goods Declaration - CFR49.pdf
Tablet Guides: Data Collection Output Locations by Application,Tablet Guides: Data Collection Output Locations by Application,./files/Manuals/Apps Software/ApplicationOutput.pdf
Deck Lead Training Checklist,Deck Lead Training Checklist,./files/Manuals/Survey operation manuals/back deck training sheet.pdf
Special Collection: 2023 Slope Tow Resources Folder,Special Collection: Slope Tow Resources Folder,./files/Collections/Special projects BS/2023/EBS/DeFilippo
